SITE,ONLINE_GOODS_NUM,ORIGINAL,MODIFIED
MIXXO,1701119525,"NAVY,GREY,PINK 겉감/안감/배색 - 폴리에스터 100% MIX 겉감 - 폴리에스터 51% 아크릴 40% 모(양모) 3% 나일론 3% 면 2% / 안감,배색 - 폴리에스터 100%","[NAVY,GREY,PINK]겉감,안감,배색- 폴리에스터 100% [MIX]겉감- 폴리에스터 51% 아크릴 40% 모(양모) 3% 나일론 3% 면 2% / 안감,배색- 폴리에스터 100%"
MIXXO,1701119531,GREY 겉감/안감 - 폴리에스터 100% NAVY 겉감 - 폴리에스터 85% 레이온 12% 폴리우레탄 3% / 안감 - 폴리에스터 100%,"[GREY]겉감,안감- 폴리에스터 100% [NAVY]겉감- 폴리에스터 85% 레이온 12% 폴리우레탄 3% / 안감- 폴리에스터 100%"
MIXXO,1702130665,[BLACK]겉감-폴리에스터 69% 레이온 30% 폴리우레탄 1% / 안감-폴리에스터 100% [MELANGE GREY]겉감-폴리에스터 37% 면 27% 모(양모) 27% 레이온 9% / 안감-폴리에스터 100%,[BLACK]겉감-폴리에스터 69% 레이온 30% 폴리우레탄 1% / 안감-폴리에스터 100% [M/GREY]겉감-폴리에스터 37% 면 27% 모(양모) 27% 레이온 9% / 안감-폴리에스터 100%
MIXXO,1702130674,"[MELANGE GREY] 겉감 - 폴리에스터 80%, 레이온 17%, 폴리우레탄 3% 안감 - 폴리에스터 100% [BLACK] 겉감-폴리에스터 78%, 레이온 19%, 폴리우레탄 3% 안감 - 폴리에스터 100%","[M/GREY] 겉감 - 폴리에스터 80%, 레이온 17%, 폴리우레탄 3% 안감 - 폴리에스터 100% [BLACK] 겉감-폴리에스터 78%, 레이온 19%, 폴리우레탄 3% 안감 - 폴리에스터 100%"
MIXXO,1702130675,"[BLACK] 겉감 - 레이온 52%, 폴리에스터 44%, 폴리우레탄 4% 안감 - 폴리에스터 100% [MELANGE GREY] 겉감 - 폴리에스터 63%, 레이온 34$, 폴리우레탄 3% 안감 - 폴리에스터 100%","[BLACK] 겉감 - 레이온 52%, 폴리에스터 44%, 폴리우레탄 4% 안감 - 폴리에스터 100% [M/GREY] 겉감 - 폴리에스터 63%, 레이온 34$, 폴리우레탄 3% 안감 - 폴리에스터 100%"
MIXXO,1702130699,"[TWO TONE] 겉감 - 95%, 모 5% [BLUE, BLACK, PINK] 겉감 - 폴리에스터 78%, 레이온 18%, 폴리우레탄 4% [MIX] 겉감 - 폴리에스터 98%, 폴리우레탄 2%","[TWO TONE] 겉감 - 폴리에스터 95%, 모 5% [BLUE, BLACK, PINK] 겉감 - 폴리에스터 78%, 레이온 18%, 폴리우레탄 4% [MIX] 겉감 - 폴리에스터 98%, 폴리우레탄 2%"
MIXXO,1701126537,"겉감 - 나일론 90% 폴리우레탄 10% 안감 - 면 100% 컵(겉감) 폴리에스터 92% 폴리우레탄 8%, (안감) 폴리에스터 85% 폴리우레탄 15%","겉감 - 나일론 90% 폴리우레탄 10% 안감 - 면 100% 컵(겉감) 폴리에스터 92% 폴리우레탄 8%, 컵(안감) 폴리에스터 85% 폴리우레탄 15%"
MIXXO,1608006807,컵(겉감) - 폴리에스터 92% 폴리우레탄 8% (안감) - 면 100%,컵(겉감) - 폴리에스터 92% 폴리우레탄 8% 컵(안감) - 면 100%
MIXXO,1608011464,"앞판-폴리에스터 92%, 폴리우레탄 8% 뒷판-나일론 70%, 폴리우레탄 30% 마지(겉감)-폴리에스터 92%, 폴리우레탄 8%, 마지(안감)-면 100%. (옆판)-폴리에스터 92%, 폴리우레탄 8% (장식제외)","앞판-폴리에스터 92%, 폴리우레탄 8% 뒷판-나일론 70%, 폴리우레탄 30% 마지(겉감)-폴리에스터 92%, 폴리우레탄 8%, 마지(안감)-면 100% 마지(옆판)-폴리에스터 92%, 폴리우레탄 8% (장식제외)"
MIXXO,1612092044,FUR-FOX FUR 100% / LINING-폴리에스터 100%,여우털 100% / 안감-폴리에스터 100%
MIXXO,1610064213,"겉감- 나일론100% 안감,다운백,충전재- 폴리에스터100% 충전재-폴리에스터50%, 오리솜털25%, 오리깃털25%","겉감- 나일론100% 안감,다운백,충전백- 폴리에스터100% 충전재-폴리에스터50%, 오리솜털25%, 오리깃털25%"
MIXXO,1612107259,"겉감-면,폴리에스터,폴리우레탄,기타",-
MIXXO,1701127861,"겉감 - 폴리에스터 88% 레이온 6% 아크릴 2% 면,모,폴리우레탄,나일론 1%",겉감 - 폴리에스터 88% 레이온 6% 아크릴 2% 면 1% 모 1% 폴리우레탄 1% 나일론 1%
MIXXO,1702133918,"폴리에스터 67% 아크릴 20% 모,나일론,레이온 각 1%",폴리에스터 67% 아크릴 20% 모 1% 나일론 1% 레이온 1%
MIXXO,1608003933,"면 - 79%, 폴리에스터 - 18%, 린넨 - 2%, 레이온 - 1%","면 79%, 폴리에스터 18%, 린넨 2%, 레이온 1%"
MIXXO,1608003974,"면 - 99%, 폴리우레탄 - 1%","면 99%, 폴리우레탄 1%"
MIXXO,1704184979,"[BLUE,DARK GREY] 겉감-폴리에스터 95% 폴리우레탄 5% / 안감-폴리에스터 100% [LIGHT PINK] 겉감-폴리에스터 96% 폴리우레탄 4% / 안감-폴리에스터 100%","[BLUE,DARK GREY] 겉감-폴리에스터 95% 폴리우레탄 5% / 안감-폴리에스터 100% [LIGHT PINK] 겉감-폴리에스터 96% 폴리우레탄 4% / 안감-폴리에스터 100% [BLACK, KHAKI, IVORY] 겉감-폴리에스터 95% 폴리우레탄 5% / 안감-폴리에스터 100%"
SPAO,1702132738,KR겉감 외피:면100% 내피:폴리에스터63.5% 면36.5% 안감:폴리에스터100%,겉감외피:면100% 겉감내피:폴리에스터63.5% 면36.5% 안감:폴리에스터100%
